Size,Poster,LinkID,DemoPaper,NumOfChapters,FullPaper,ShortAbstract,ShortPaper,Article,Title,Author,Name,Subject,Symposium,Venue,VenueName,Conference,Proceeding,Handler,StartDate
,,,,21,FullArticleID857,,,ArticleID857,Demonstration of interference pattern structured illumination imaging,AuthorID588, Schmidt H.,AI and Economics,SCID016,VCID016,International Conference on Artificial Intelligence and Robotics (ICAIR),CID016,ICAIR Ed 1,HandlerID022,08/09/2020
,,www.Pacific Symposium on Biocomputing.com/DemoArticleID862,DemoArticleID862,,,,,ArticleID862,Benchmarking your break rates: A review of new findings and trends from north American water main break studies,AuthorID593, Schmidt H.,AI and Economics,SCID016,VCID016,International Conference on Artificial Intelligence and Robotics (ICAIR),CID016,ICAIR Ed 1,HandlerID022,08/09/2020
,,www.Pacific Symposium on Biocomputing.com/DemoArticleID882,DemoArticleID882,,,,,ArticleID882,Designing emergent swarm behaviors using behavior trees and grammatical evolution,AuthorID613, Smalley D.,AI and Economics,SCID016,VCID016,International Conference on Artificial Intelligence and Robotics (ICAIR),CID016,ICAIR Ed 1,HandlerID022,08/09/2020
28,PosterArticleID847,,,,,,,ArticleID847,Progress on photophoretic trap displays,AuthorID578, Saito M.,AI and Economics,SCID016,VCID016,International Conference on Artificial Intelligence and Robotics (ICAIR),CID016,ICAIR Ed 1,HandlerID022,08/09/2020
29,PosterArticleID867,,,,,,,ArticleID867,"Adapting standard external clustering metrics for repetitive, noisy observations",AuthorID598, Scott M.A.,AI and Economics,SCID016,VCID016,International Conference on Artificial Intelligence and Robotics (ICAIR),CID016,ICAIR Ed 1,HandlerID022,08/09/2020
5,PosterArticleID887,,,,,,,ArticleID887,Locally correlated slw model for prediction of gas radiation in non-uniform media,AuthorID618, Smith T.,AI and Economics,SCID016,VCID016,International Conference on Artificial Intelligence and Robotics (ICAIR),CID016,ICAIR Ed 1,HandlerID022,08/09/2020
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID541",ShortArticleID541,ArticleID541,Kinetostatic and dynamic modeling of flexure-based compliant mechanisms: A survey,AuthorID272, Cosner R.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 2,HandlerID010,01/01/1987
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID543",ShortArticleID543,ArticleID543,A Review of Thickness-Accommodation Techniques in Origami-Inspired Engineering,AuthorID274, Crane N.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 4,HandlerID010,01/01/1987
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID550",ShortArticleID550,ArticleID550,Project-based learning curriculum for the junior year based on building a laser tag system,AuthorID281, Dahlin E.C.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 1,HandlerID010,01/01/1987
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID552",ShortArticleID552,ArticleID552,Lowman's model goes back to the movies,AuthorID283, Dahlin E.C.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 3,HandlerID010,01/01/1987
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID559",ShortArticleID559,ArticleID559,Experiential learning: Using small-scale projects to teach project complexities and relationship roles in construction,AuthorID290, Eggett D.L.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 5,HandlerID010,01/01/1987
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID561",ShortArticleID561,ArticleID561,Cross platform usability: Evaluating computing tasks performed on multiple platforms,AuthorID292, Eggett D.L.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 2,HandlerID010,01/01/1987
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID563",ShortArticleID563,ArticleID563,Assessment of a global engineering outreach course,AuthorID294, Elmqvist N.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 4,HandlerID010,01/01/1987
,,,,18,FullArticleID544,,,ArticleID544,Erratum: Hardware and software improvements to a low-cost horizontal parallax holographic video monitor (Applied Optics (2018) 57 (A122-A133) DOI: 10.1364/AO.57.00A122),AuthorID275, Crane N.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 5,HandlerID010,01/01/1987
,,,,30,FullArticleID546,,,ArticleID546,Transitioning a manufacturing systems engineering course to student-centered learning,AuthorID277, Crane N.B.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 2,HandlerID010,01/01/1987
,,,,28,FullArticleID548,,,ArticleID548,Sustainable water filters in southern Peru,AuthorID279, Cunningham A.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 4,HandlerID010,01/01/1987
,,,,15,FullArticleID555,,,ArticleID555,Investigating engineering students' understandings of social and ethical responsibility: Coding framework and initial findings,AuthorID286, Desai A.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 1,HandlerID010,01/01/1987
,,,,10,FullArticleID557,,,ArticleID557,Increasing student construction interest by engaging elementary students in an inquiry-based 3D modelling after school program,AuthorID288, Domschke V.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 3,HandlerID010,01/01/1987
,,,,12,FullArticleID564,,,ArticleID564,A model workshop for helping new faculty engage students in the STEM Classroom,AuthorID295, Ernst D.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 5,HandlerID010,01/01/1987
,,,,16,FullArticleID566,,,ArticleID566,A cognitive approach to predicting academic success in computing,AuthorID297, Fang S.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 2,HandlerID010,01/01/1987
,,"www.ASEE Annual Conference and Exposition, Conference Proceedings.com/DemoArticleID540",DemoArticleID540,,,,,ArticleID540,Modeling pressurized dense phase coal fluidization and transport,AuthorID271, Copley D.C.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 1,HandlerID010,01/01/1987
,,"www.ASEE Annual Conference and Exposition, Conference Proceedings.com/DemoArticleID542",DemoArticleID542,,,,,ArticleID542,"Closure to ""discussion of 'a review of thickness-accommodation techniques in origami-inspired engineering'"" (Lang, R. J., Tolman, K. A., Crampton, E. B., Magleby, S. P., and Howell, L. L., 2018, ASME Appl. Mech. Rev., 70(1), p. 010805)",AuthorID273, Crampton E.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 3,HandlerID010,01/01/1987
,,"www.ASEE Annual Conference and Exposition, Conference Proceedings.com/DemoArticleID549",DemoArticleID549,,,,,ArticleID549,Student perceptions and attitudes towards a required vs. An optional course in leadership,AuthorID280, Dahlin E.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 5,HandlerID010,01/01/1987
,,"www.ASEE Annual Conference and Exposition, Conference Proceedings.com/DemoArticleID551",DemoArticleID551,,,,,ArticleID551,Outreach potential of displaying research artifacts in art museums,AuthorID282, Dahlin E.C.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 2,HandlerID010,01/01/1987
,,"www.ASEE Annual Conference and Exposition, Conference Proceedings.com/DemoArticleID553",DemoArticleID553,,,,,ArticleID553,Lowman's model goes back to the movies,AuthorID284, Dashti S.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 4,HandlerID010,01/01/1987
,,"www.ASEE Annual Conference and Exposition, Conference Proceedings.com/DemoArticleID560",DemoArticleID560,,,,,ArticleID560,Designing a sustainable large-scale project-based learning (PBL) experience for juniors in electrical and computer engineering,AuthorID291, Eggett D.L.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 1,HandlerID010,01/01/1987
,,"www.ASEE Annual Conference and Exposition, Conference Proceedings.com/DemoArticleID562",DemoArticleID562,,,,,ArticleID562,Crafting the future of computing education in CC2020: A workshop,AuthorID293, El-Essawi M.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 3,HandlerID010,01/01/1987
10,PosterArticleID545,,,,,,,ArticleID545,Understanding engineering and technology student perceptions: Barriers to study abroad participation,AuthorID276, Crane N.B.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 1,HandlerID010,01/01/1987
29,PosterArticleID547,,,,,,,ArticleID547,Technology and design programs,AuthorID278, Crane N.B.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 3,HandlerID010,01/01/1987
13,PosterArticleID554,,,,,,,ArticleID554,Investigating influences on first-year engineering students' views of ethics and social responsibility,AuthorID285, Davis R.C.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 5,HandlerID010,01/01/1987
11,PosterArticleID556,,,,,,,ArticleID556,Intensive mentoring and micro-electronics research for students in engineering (IMMERSE),AuthorID287, Dickinson L.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 2,HandlerID010,01/01/1987
15,PosterArticleID558,,,,,,,ArticleID558,Global humanitarian-based projects: A documentation strategy for strengthening project sustainability,AuthorID289, Eaton A.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 4,HandlerID010,01/01/1987
10,PosterArticleID565,,,,,,,ArticleID565,A longitudinal study of social and ethical responsibility among undergraduate engineering students: Comparing baseline and midpoint survey results,AuthorID296, Fagergren F.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 1,HandlerID010,01/01/1987
23,PosterArticleID567,,,,,,,ArticleID567,Adaptive control of large-scale soft robot manipulators with unknown payloads,AuthorID298, Farr T.,Future of STEM,SCID003,VCID003,"ASEE Annual Conference and Exposition, Conference Proceedings",CID003,ECP Ed 3,HandlerID010,01/01/1987
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID845",ShortArticleID845,ArticleID845,Single particle detection enhancement with wavelet-based signal processing technique,AuthorID576, Safdari M.-S.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 2,HandlerID014,05/02/1999
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID854",ShortArticleID854,ArticleID854,High-acquisition-rate single-shot pump-probe measurement using chirped-fiber Bragg gratings,AuthorID585, Saric A.T.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 1,HandlerID014,05/02/1999
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID856",ShortArticleID856,ArticleID856,Expanding the far UV range of aluminum-coated mirrors for space-based observations to reflect hydrogen Lyman lines via fluoride multilayers,AuthorID587, Schima S.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 3,HandlerID014,05/02/1999
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID865",ShortArticleID865,ArticleID865,Defining a Sustainable Underground Infrastructure Framework: ISO Asset Management and ISO Life Cycle,AuthorID596, Scott D.R.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 2,HandlerID014,05/02/1999
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID874",ShortArticleID874,ArticleID874,The personification of big data,AuthorID605, Shelley M.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 1,HandlerID014,05/02/1999
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID876",ShortArticleID876,ArticleID876,Development and testing of a friction-based post-installable fiber-optic monitoring system for subsea applications,AuthorID607, Shrager A.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 3,HandlerID014,05/02/1999
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID885",ShortArticleID885,ArticleID885,Numerical analyses of mortar incorporating the variation in poisson's ratio with increasing axial load,AuthorID616, Smith J.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 2,HandlerID014,05/02/1999
,,,,17,FullArticleID850,,,ArticleID850,Optofluidic platform with integrated optical waveguides and sample preparation for digitized detection of nucleic acid targets,AuthorID581, Salvatierra G.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 2,HandlerID014,05/02/1999
,,,,23,FullArticleID859,,,ArticleID859,Integrating community-level data resources for precision medicine research,AuthorID590, Schmidt H.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 1,HandlerID014,05/02/1999
,,,,10,FullArticleID861,,,ArticleID861,Water main criticality scoring and GIS centric risk mitigation: Applying GIS spatial analysis tools and apps for greater insight for high risk underground infrastructure,AuthorID592, Schmidt H.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 3,HandlerID014,05/02/1999
,,,,10,FullArticleID870,,,ArticleID870,A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,AuthorID601, Seamons K.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 2,HandlerID014,05/02/1999
,,,,21,FullArticleID879,,,ArticleID879,Information design in crowdfunding under thresholding policies,AuthorID610, Simons T.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 1,HandlerID014,05/02/1999
,,,,4,FullArticleID881,,,ArticleID881,Effect of leader placement on robotic swarm control,AuthorID612, Smalley D.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 3,HandlerID014,05/02/1999
,,,,14,FullArticleID890,,,ArticleID890,On peak-to-average power ratio optimization for coded APSK,AuthorID621, Song Y.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 2,HandlerID014,05/02/1999
,,www.Pacific Symposium on Biocomputing.com/DemoArticleID844,DemoArticleID844,,,,,ArticleID844,Single particle fluorescence analysis on demand on electro-optofluidic chip with gated particle delivery,AuthorID575, Sadler A.L.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 1,HandlerID014,05/02/1999
,,www.Pacific Symposium on Biocomputing.com/DemoArticleID846,DemoArticleID846,,,,,ArticleID846,Progress on static structures for leaky mode waveguides,AuthorID577, Sahawneh L.R.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 3,HandlerID014,05/02/1999
,,www.Pacific Symposium on Biocomputing.com/DemoArticleID855,DemoArticleID855,,,,,ArticleID855,High fidelity MMI excitation patterns for optofluidic multiplexing,AuthorID586, Scheibel R.S.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 2,HandlerID014,05/02/1999
,,www.Pacific Symposium on Biocomputing.com/DemoArticleID864,DemoArticleID864,,,,,ArticleID864,Fixing the O&M Budget with Asset Management to Create More Capital Debt Capacity for Pipe Projects,AuthorID595, Schultz S.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 1,HandlerID014,05/02/1999
,,www.Pacific Symposium on Biocomputing.com/DemoArticleID866,DemoArticleID866,,,,,ArticleID866,Alpha Model Domination in Multiple Choice Learning,AuthorID597, Scott M.A.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 3,HandlerID014,05/02/1999
,,www.Pacific Symposium on Biocomputing.com/DemoArticleID875,DemoArticleID875,,,,,ArticleID875,New flow assurance system with high speed subsea fiber optic monitoring of pressure and temperature,AuthorID606, Shoemaker G.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 2,HandlerID014,05/02/1999
,,www.Pacific Symposium on Biocomputing.com/DemoArticleID884,DemoArticleID884,,,,,ArticleID884,Strut-and-tie models for masonry walls with openings,AuthorID615, Smalley D.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 1,HandlerID014,05/02/1999
,,www.Pacific Symposium on Biocomputing.com/DemoArticleID886,DemoArticleID886,,,,,ArticleID886,Finite element model of dry-stack masonry shear walls,AuthorID617, Smith J.P.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 3,HandlerID014,05/02/1999
14,PosterArticleID849,,,,,,,ArticleID849,Polarization-resolved single-photon measurements of nonlinear Thomson scattering,AuthorID580, Salmon J.L.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 1,HandlerID014,05/02/1999
29,PosterArticleID851,,,,,,,ArticleID851,Open source computational photonics toolbox,AuthorID582, Sampad M.J.N.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 3,HandlerID014,05/02/1999
22,PosterArticleID860,,,,,,,ArticleID860,Evans function computation for the stability of travelling waves,AuthorID591, Schmidt H.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 2,HandlerID014,05/02/1999
19,PosterArticleID869,,,,,,,ArticleID869,Formation of deposits from heavy fuel oil ash in an Accelerated Deposition Facility at temperatures up to 1206Â°C,AuthorID600, Seamons K.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 1,HandlerID014,05/02/1999
6,PosterArticleID871,,,,,,,ArticleID871,Necessary and Sufficient Conditions on State Transformations That Preserve the Causal Structure of LTI Dynamical Networks,AuthorID602, Shapeev A.V.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 3,HandlerID014,05/02/1999
19,PosterArticleID880,,,,,,,ArticleID880,GEESE: Grammatical evolution algorithm for evolution of swarm behaviors,AuthorID611, Skaggs P.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 2,HandlerID014,05/02/1999
29,PosterArticleID889,,,,,,,ArticleID889,Accuracy of engineering methods for radiative transfer in CO2-H2O mixtures at high temperature,AuthorID620, Song R.,Innovation in STEM,SCID007,VCID007,Pacific Symposium on Biocomputing,CID007,Pacific Ed 1,HandlerID014,05/02/1999
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID852",ShortArticleID852,ArticleID852,Multimodal multiplexing of single-virus detection using multi-mode interference waveguides,AuthorID583, Saquib M.,Nano Biology,SCID017,VCID017,International Conference on Nanotechnology and Materials Science (ICNMS),CID017,ICNMS Ed 1,HandlerID023,05/12/1997
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID872",ShortArticleID872,ArticleID872,"Dynamic Networks: Representations, Abstractions, and Well-Posedness",AuthorID603, Shapeev A.V.,Nano Biology,SCID017,VCID017,International Conference on Nanotechnology and Materials Science (ICNMS),CID017,ICNMS Ed 1,HandlerID023,05/12/1997
,,,,9,FullArticleID877,,,ArticleID877,When official systems overload: A framework for finding social media calls for help during evacuations,AuthorID608, Shumway L.,Nano Biology,SCID017,VCID017,International Conference on Nanotechnology and Materials Science (ICNMS),CID017,ICNMS Ed 1,HandlerID023,05/12/1997
15,PosterArticleID863,,,,,,,ArticleID863,How Green Are You? Economic and Environmental Sustainability: Assessing the Global Warming Potential (GMP) of Your Underground Infrastructure,AuthorID594, Schultz S.,Nano Biology,SCID017,VCID017,International Conference on Nanotechnology and Materials Science (ICNMS),CID017,ICNMS Ed 1,HandlerID023,05/12/1997
28,PosterArticleID883,,,,,,,ArticleID883,Cooperating in long-term relationships with time-varying structure,AuthorID614, Smalley D.,Nano Biology,SCID017,VCID017,International Conference on Nanotechnology and Materials Science (ICNMS),CID017,ICNMS Ed 1,HandlerID023,05/12/1997
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID848",ShortArticleID848,ArticleID848,Preserving optical confinement in unannealed PECVD SiO2 waveguides,AuthorID579, Salmon J.,Sustainability,SCID018,VCID018,International Conference on Renewable Energy and Sustainable Technologies (ICREST),CID018,ICREST Ed 2,HandlerID024,02/07/1995
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID868",ShortArticleID868,ArticleID868,Fourier descriptors for improved analysis of distortion transfer and generation,AuthorID599, Scott M.A.,Sustainability,SCID018,VCID018,International Conference on Renewable Energy and Sustainable Technologies (ICREST),CID018,ICREST Ed 2,HandlerID024,02/07/1995
,,,,,,"Abstract: Lorep Ipsum, fake abstract for  ShortArticleID888",ShortArticleID888,ArticleID888,Assessment of engineering gas radiative property models in high pressure turbulent jet diffusion flames,AuthorID619, Sommerfeldt S.D.,Sustainability,SCID018,VCID018,International Conference on Renewable Energy and Sustainable Technologies (ICREST),CID018,ICREST Ed 1,HandlerID024,02/07/1995
,,,,17,FullArticleID853,,,ArticleID853,In-situ measurements of strain in soft body armor with FBG sensors during ballistic impacts,AuthorID584, Saric A.T.,Sustainability,SCID018,VCID018,International Conference on Renewable Energy and Sustainable Technologies (ICREST),CID018,ICREST Ed 1,HandlerID024,02/07/1995
,,,,25,FullArticleID873,,,ArticleID873,Using local invasive species and flora to manufacture collagen based biodegradable plastic tableware,AuthorID604, Shayegan J.,Sustainability,SCID018,VCID018,International Conference on Renewable Energy and Sustainable Technologies (ICREST),CID018,ICREST Ed 2,HandlerID024,02/07/1995
,,www.Pacific Symposium on Biocomputing.com/DemoArticleID858,DemoArticleID858,,,,,ArticleID858,3D hydrodynamic focusing for optofluidics using a stacked channel design,AuthorID589, Schmidt H.,Sustainability,SCID018,VCID018,International Conference on Renewable Energy and Sustainable Technologies (ICREST),CID018,ICREST Ed 1,HandlerID024,02/07/1995
,,www.Pacific Symposium on Biocomputing.com/DemoArticleID878,DemoArticleID878,,,,,ArticleID878,Requirements for software to support the use of social media in emergency management: A Delphi study,AuthorID609, Shumway S.,Sustainability,SCID018,VCID018,International Conference on Renewable Energy and Sustainable Technologies (ICREST),CID018,ICREST Ed 1,HandlerID024,02/07/1995
